fusion,classifier,class,precision,recall,f1,support
BulkFormer,LogReg,BRCA,0.9777777777777777,0.9850746268656716,0.9814126394052045,134
BulkFormer,LogReg,COAD,0.9705882352941176,0.9924812030075187,0.9814126394052045,133
BulkFormer,LogReg,KIRC,0.9923664122137404,0.9774436090225563,0.9848484848484849,133
BulkFormer,LogReg,LIHC,0.9701492537313433,0.9774436090225563,0.9737827715355806,133
BulkFormer,LogReg,LUAD,1.0,0.9925373134328358,0.9962546816479401,134
BulkFormer,LogReg,THCA,1.0,0.9849624060150376,0.9924242424242424,133
BulkFormer,SVM,BRCA,0.9710144927536232,1.0,0.9852941176470589,134
BulkFormer,SVM,COAD,0.9776119402985075,0.9849624060150376,0.9812734082397003,133
BulkFormer,SVM,KIRC,0.9924242424242424,0.9849624060150376,0.9886792452830189,133
BulkFormer,SVM,LIHC,0.9847328244274809,0.9699248120300752,0.9772727272727273,133
BulkFormer,SVM,LUAD,1.0,0.9925373134328358,0.9962546816479401,134
BulkFormer,SVM,THCA,1.0,0.9924812030075187,0.9962264150943396,133
BulkFormer,XGBoost,BRCA,0.9632352941176471,0.9776119402985075,0.9703703703703703,134
BulkFormer,XGBoost,COAD,0.9847328244274809,0.9699248120300752,0.9772727272727273,133
BulkFormer,XGBoost,KIRC,0.9701492537313433,0.9774436090225563,0.9737827715355806,133
BulkFormer,XGBoost,LIHC,0.9847328244274809,0.9699248120300752,0.9772727272727273,133
BulkFormer,XGBoost,LUAD,0.9851851851851852,0.9925373134328358,0.9888475836431226,134
BulkFormer,XGBoost,THCA,0.9924812030075187,0.9924812030075187,0.9924812030075187,133
CpGPT,LogReg,BRCA,0.8666666666666667,0.8731343283582089,0.8698884758364313,134
CpGPT,LogReg,COAD,0.7591240875912408,0.7819548872180451,0.7703703703703704,133
CpGPT,LogReg,KIRC,0.8984375,0.8646616541353384,0.8812260536398467,133
CpGPT,LogReg,LIHC,0.8740740740740741,0.8872180451127819,0.8805970149253731,133
CpGPT,LogReg,LUAD,0.8686131386861314,0.8880597014925373,0.8782287822878229,134
CpGPT,LogReg,THCA,0.9609375,0.924812030075188,0.9425287356321839,133
CpGPT,SVM,BRCA,0.8333333333333334,0.8582089552238806,0.8455882352941176,134
CpGPT,SVM,COAD,0.7984496124031008,0.7744360902255639,0.7862595419847328,133
CpGPT,SVM,KIRC,0.905511811023622,0.8646616541353384,0.8846153846153846,133
CpGPT,SVM,LIHC,0.85,0.8947368421052632,0.8717948717948718,133
CpGPT,SVM,LUAD,0.9197080291970803,0.9402985074626866,0.9298892988929889,134
CpGPT,SVM,THCA,0.9612403100775194,0.9323308270676691,0.9465648854961832,133
CpGPT,XGBoost,BRCA,0.7878787878787878,0.7761194029850746,0.7819548872180451,134
CpGPT,XGBoost,COAD,0.6590909090909091,0.6541353383458647,0.6566037735849056,133
CpGPT,XGBoost,KIRC,0.8518518518518519,0.8646616541353384,0.8582089552238806,133
CpGPT,XGBoost,LIHC,0.7463768115942029,0.7744360902255639,0.7601476014760148,133
CpGPT,XGBoost,LUAD,0.8656716417910447,0.8656716417910447,0.8656716417910447,134
CpGPT,XGBoost,THCA,0.8992248062015504,0.8721804511278195,0.8854961832061069,133
EarlyFusion,LogReg,BRCA,0.9925925925925926,1.0,0.9962825278810409,134
EarlyFusion,LogReg,COAD,0.9774436090225563,0.9774436090225563,0.9774436090225563,133
EarlyFusion,LogReg,KIRC,0.9776119402985075,0.9849624060150376,0.9812734082397003,133
EarlyFusion,LogReg,LIHC,0.9849624060150376,0.9849624060150376,0.9849624060150376,133
EarlyFusion,LogReg,LUAD,1.0,0.9925373134328358,0.9962546816479401,134
EarlyFusion,LogReg,THCA,1.0,0.9924812030075187,0.9962264150943396,133
EarlyFusion,SVM,BRCA,0.9925373134328358,0.9925373134328358,0.9925373134328358,134
EarlyFusion,SVM,COAD,0.9777777777777777,0.9924812030075187,0.9850746268656716,133
EarlyFusion,SVM,KIRC,0.9849624060150376,0.9849624060150376,0.9849624060150376,133
EarlyFusion,SVM,LIHC,0.9849624060150376,0.9849624060150376,0.9849624060150376,133
EarlyFusion,SVM,LUAD,1.0,0.9925373134328358,0.9962546816479401,134
EarlyFusion,SVM,THCA,1.0,0.9924812030075187,0.9962264150943396,133
EarlyFusion,XGBoost,BRCA,0.9629629629629629,0.9701492537313433,0.966542750929368,134
EarlyFusion,XGBoost,COAD,0.9555555555555556,0.9699248120300752,0.9626865671641791,133
EarlyFusion,XGBoost,KIRC,0.9701492537313433,0.9774436090225563,0.9737827715355806,133
EarlyFusion,XGBoost,LIHC,0.9624060150375939,0.9624060150375939,0.9624060150375939,133
EarlyFusion,XGBoost,LUAD,0.9923076923076923,0.9626865671641791,0.9772727272727273,134
EarlyFusion,XGBoost,THCA,0.9849624060150376,0.9849624060150376,0.9849624060150376,133
LateFusion_Avg,LogReg,BRCA,0.9849624060150376,0.9776119402985075,0.9812734082397003,134
LateFusion_Avg,LogReg,COAD,0.9618320610687023,0.9473684210526315,0.9545454545454546,133
LateFusion_Avg,LogReg,KIRC,0.9776119402985075,0.9849624060150376,0.9812734082397003,133
LateFusion_Avg,LogReg,LIHC,0.9701492537313433,0.9774436090225563,0.9737827715355806,133
LateFusion_Avg,LogReg,LUAD,0.9629629629629629,0.9701492537313433,0.966542750929368,134
LateFusion_Avg,LogReg,THCA,0.9924812030075187,0.9924812030075187,0.9924812030075187,133
LateFusion_Avg,SVM,BRCA,0.9850746268656716,0.9850746268656716,0.9850746268656716,134
LateFusion_Avg,SVM,COAD,0.9772727272727273,0.9699248120300752,0.9735849056603774,133
LateFusion_Avg,SVM,KIRC,0.9849624060150376,0.9849624060150376,0.9849624060150376,133
LateFusion_Avg,SVM,LIHC,0.9562043795620438,0.9849624060150376,0.9703703703703703,133
LateFusion_Avg,SVM,LUAD,0.9924812030075187,0.9850746268656716,0.9887640449438202,134
LateFusion_Avg,SVM,THCA,1.0,0.9849624060150376,0.9924242424242424,133
LateFusion_Avg,XGBoost,BRCA,0.9621212121212122,0.9477611940298507,0.9548872180451128,134
LateFusion_Avg,XGBoost,COAD,0.9318181818181818,0.924812030075188,0.9283018867924528,133
LateFusion_Avg,XGBoost,KIRC,0.9492753623188406,0.9849624060150376,0.966789667896679,133
LateFusion_Avg,XGBoost,LIHC,0.9473684210526315,0.9473684210526315,0.9473684210526315,133
LateFusion_Avg,XGBoost,LUAD,0.9776119402985075,0.9776119402985075,0.9776119402985075,134
LateFusion_Avg,XGBoost,THCA,0.9923664122137404,0.9774436090225563,0.9848484848484849,133
LateFusion_Learned,LogReg,BRCA,0.9851851851851852,0.9925373134328358,0.9888475836431226,134
LateFusion_Learned,LogReg,COAD,0.9850746268656716,0.9924812030075187,0.9887640449438202,133
LateFusion_Learned,LogReg,KIRC,0.9924242424242424,0.9849624060150376,0.9886792452830189,133
LateFusion_Learned,LogReg,LIHC,0.9776119402985075,0.9849624060150376,0.9812734082397003,133
LateFusion_Learned,LogReg,LUAD,1.0,0.9925373134328358,0.9962546816479401,134
LateFusion_Learned,LogReg,THCA,1.0,0.9924812030075187,0.9962264150943396,133
LateFusion_Learned,SVM,BRCA,0.9851851851851852,0.9925373134328358,0.9888475836431226,134
LateFusion_Learned,SVM,COAD,0.9632352941176471,0.9849624060150376,0.9739776951672863,133
LateFusion_Learned,SVM,KIRC,0.9923664122137404,0.9774436090225563,0.9848484848484849,133
LateFusion_Learned,SVM,LIHC,0.9776119402985075,0.9849624060150376,0.9812734082397003,133
LateFusion_Learned,SVM,LUAD,1.0,0.9925373134328358,0.9962546816479401,134
LateFusion_Learned,SVM,THCA,1.0,0.9849624060150376,0.9924242424242424,133
LateFusion_Learned,XGBoost,BRCA,0.9703703703703703,0.9776119402985075,0.9739776951672863,134
LateFusion_Learned,XGBoost,COAD,0.9847328244274809,0.9699248120300752,0.9772727272727273,133
LateFusion_Learned,XGBoost,KIRC,0.9705882352941176,0.9924812030075187,0.9814126394052045,133
LateFusion_Learned,XGBoost,LIHC,0.9847328244274809,0.9699248120300752,0.9772727272727273,133
LateFusion_Learned,XGBoost,LUAD,0.9851851851851852,0.9925373134328358,0.9888475836431226,134
LateFusion_Learned,XGBoost,THCA,1.0,0.9924812030075187,0.9962264150943396,133
