feature,mean_abs_shap,modality
BulkFormer_PC4,0.61598593,BulkFormer
BulkFormer_PC6,0.56841886,BulkFormer
BulkFormer_PC2,0.47436202,BulkFormer
BulkFormer_PC1,0.4624894,BulkFormer
BulkFormer_PC5,0.4491168,BulkFormer
BulkFormer_PC3,0.40448108,BulkFormer
BulkFormer_PC7,0.20569175,BulkFormer
CpGPT_PC1,0.19877404,CpGPT
CpGPT_PC4,0.08975571,CpGPT
CpGPT_PC2,0.06743779,CpGPT
BulkFormer_PC10,0.06515078,BulkFormer
BulkFormer_PC28,0.044904374,BulkFormer
BulkFormer_PC40,0.039161813,BulkFormer
BulkFormer_PC22,0.035909526,BulkFormer
BulkFormer_PC17,0.03387357,BulkFormer
BulkFormer_PC55,0.025812898,BulkFormer
BulkFormer_PC9,0.024898408,BulkFormer
CpGPT_PC3,0.024709234,CpGPT
CpGPT_PC7,0.024477063,CpGPT
BulkFormer_PC19,0.024118464,BulkFormer
BulkFormer_PC25,0.023986947,BulkFormer
CpGPT_PC12,0.023141904,CpGPT
BulkFormer_PC16,0.02068395,BulkFormer
BulkFormer_PC13,0.01965567,BulkFormer
BulkFormer_PC31,0.018640023,BulkFormer
BulkFormer_PC47,0.017436486,BulkFormer
CpGPT_PC64,0.016899373,CpGPT
BulkFormer_PC35,0.016278464,BulkFormer
CpGPT_PC18,0.015170792,CpGPT
CpGPT_PC20,0.014045997,CpGPT
BulkFormer_PC59,0.013629513,BulkFormer
CpGPT_PC25,0.012851609,CpGPT
BulkFormer_PC11,0.011697043,BulkFormer
CpGPT_PC27,0.011638202,CpGPT
BulkFormer_PC43,0.010634975,BulkFormer
BulkFormer_PC21,0.009440878,BulkFormer
CpGPT_PC51,0.008222482,CpGPT
CpGPT_PC60,0.0075423433,CpGPT
BulkFormer_PC12,0.007207287,BulkFormer
CpGPT_PC14,0.007187639,CpGPT
BulkFormer_PC14,0.007183783,BulkFormer
BulkFormer_PC42,0.0070061944,BulkFormer
BulkFormer_PC36,0.006836218,BulkFormer
CpGPT_PC48,0.0059191547,CpGPT
BulkFormer_PC60,0.005454244,BulkFormer
BulkFormer_PC50,0.0051682824,BulkFormer
CpGPT_PC16,0.0049885125,CpGPT
BulkFormer_PC34,0.0047574765,BulkFormer
BulkFormer_PC52,0.004523663,BulkFormer
BulkFormer_PC46,0.004126704,BulkFormer
BulkFormer_PC30,0.003813286,BulkFormer
BulkFormer_PC23,0.003680902,BulkFormer
CpGPT_PC23,0.003601634,CpGPT
CpGPT_PC63,0.003600719,CpGPT
BulkFormer_PC61,0.0035602811,BulkFormer
CpGPT_PC6,0.0035264837,CpGPT
CpGPT_PC46,0.0035140044,CpGPT
CpGPT_PC21,0.0034874706,CpGPT
BulkFormer_PC24,0.0034804181,BulkFormer
BulkFormer_PC53,0.0034184488,BulkFormer
CpGPT_PC53,0.0032248988,CpGPT
BulkFormer_PC39,0.0030673796,BulkFormer
BulkFormer_PC29,0.0030432139,BulkFormer
CpGPT_PC15,0.0027603302,CpGPT
CpGPT_PC19,0.0026183722,CpGPT
CpGPT_PC61,0.002613003,CpGPT
CpGPT_PC30,0.0025900153,CpGPT
CpGPT_PC50,0.0024953561,CpGPT
BulkFormer_PC27,0.0024580653,BulkFormer
BulkFormer_PC26,0.0024381855,BulkFormer
BulkFormer_PC8,0.0022432306,BulkFormer
BulkFormer_PC51,0.0020898248,BulkFormer
CpGPT_PC38,0.0020592893,CpGPT
BulkFormer_PC15,0.0019390662,BulkFormer
BulkFormer_PC32,0.0019277325,BulkFormer
CpGPT_PC22,0.001882094,CpGPT
BulkFormer_PC62,0.0018787524,BulkFormer
CpGPT_PC17,0.0018488853,CpGPT
CpGPT_PC31,0.0017746827,CpGPT
CpGPT_PC26,0.0016485074,CpGPT
BulkFormer_PC64,0.0016060896,BulkFormer
CpGPT_PC36,0.0015895723,CpGPT
CpGPT_PC45,0.0015875804,CpGPT
CpGPT_PC32,0.0014549572,CpGPT
CpGPT_PC10,0.001398301,CpGPT
CpGPT_PC56,0.0012341122,CpGPT
BulkFormer_PC41,0.0011233216,BulkFormer
CpGPT_PC35,0.0011054305,CpGPT
BulkFormer_PC54,0.00094894506,BulkFormer
BulkFormer_PC49,0.0009310331,BulkFormer
BulkFormer_PC57,0.00091295666,BulkFormer
CpGPT_PC39,0.00090129,CpGPT
CpGPT_PC57,0.00089703477,CpGPT
BulkFormer_PC58,0.00085606007,BulkFormer
CpGPT_PC47,0.0008145148,CpGPT
CpGPT_PC43,0.0008121223,CpGPT
CpGPT_PC34,0.0007841097,CpGPT
CpGPT_PC9,0.0007626662,CpGPT
CpGPT_PC24,0.000662372,CpGPT
BulkFormer_PC37,0.0006450346,BulkFormer
CpGPT_PC58,0.0006322661,CpGPT
CpGPT_PC11,0.0006103962,CpGPT
CpGPT_PC62,0.0006051341,CpGPT
CpGPT_PC40,0.00055751955,CpGPT
CpGPT_PC44,0.00053191767,CpGPT
CpGPT_PC33,0.0005099886,CpGPT
BulkFormer_PC63,0.0003707906,BulkFormer
CpGPT_PC54,0.00036636918,CpGPT
CpGPT_PC49,0.00034359132,CpGPT
CpGPT_PC8,0.00016597135,CpGPT
BulkFormer_PC48,0.00014879178,BulkFormer
CpGPT_PC5,0.0001356863,CpGPT
BulkFormer_PC18,0.0001106945,BulkFormer
BulkFormer_PC44,0.0,BulkFormer
BulkFormer_PC20,0.0,BulkFormer
BulkFormer_PC38,0.0,BulkFormer
CpGPT_PC52,0.0,CpGPT
BulkFormer_PC45,0.0,BulkFormer
CpGPT_PC42,0.0,CpGPT
CpGPT_PC55,0.0,CpGPT
CpGPT_PC41,0.0,CpGPT
CpGPT_PC37,0.0,CpGPT
CpGPT_PC59,0.0,CpGPT
BulkFormer_PC33,0.0,BulkFormer
BulkFormer_PC56,0.0,BulkFormer
CpGPT_PC29,0.0,CpGPT
CpGPT_PC28,0.0,CpGPT
CpGPT_PC13,0.0,CpGPT
